symbol,min_qty,min_notional,tick_size
BTCUSDT,0.001,5.0,0.1
ETHUSDT,0.001,5.0,0.01
BCHUSDT,0.001,5.0,0.01
XRPUSDT,0.1,5.0,0.0001
EOSUSDT,0.1,5.0,0.001
LTCUSDT,0.001,5.0,0.01
TRXUSDT,1.0,5.0,1e-05
ETCUSDT,0.01,5.0,0.001
LINKUSDT,0.01,5.0,0.001
XLMUSDT,1.0,5.0,1e-05
ADAUSDT,1.0,5.0,0.0001
XMRUSDT,0.001,5.0,0.01
DASHUSDT,0.001,5.0,0.01
ZECUSDT,0.001,5.0,0.01
XTZUSDT,0.1,5.0,0.001
BNBUSDT,0.01,5.0,0.01
ATOMUSDT,0.01,5.0,0.001
ONTUSDT,0.1,5.0,0.0001
IOTAUSDT,0.1,5.0,0.0001
BATUSDT,0.1,5.0,0.0001
VETUSDT,1.0,5.0,1e-05
NEOUSDT,0.01,5.0,0.001
QTUMUSDT,0.1,5.0,0.001
IOSTUSDT,1.0,5.0,1e-06
THETAUSDT,0.1,5.0,0.0001
ALGOUSDT,0.1,5.0,0.0001
ZILUSDT,1.0,5.0,1e-05
KNCUSDT,1.0,5.0,0.0001
ZRXUSDT,0.1,5.0,0.0001
COMPUSDT,0.001,5.0,0.01
OMGUSDT,0.1,5.0,0.0001
DOGEUSDT,1.0,5.0,1e-05
SXPUSDT,0.1,5.0,0.0001
KAVAUSDT,0.1,5.0,0.0001
BANDUSDT,0.1,5.0,0.0001
RLCUSDT,0.1,5.0,0.0001
WAVESUSDT,0.1,5.0,0.0001
MKRUSDT,0.001,5.0,0.1
SNXUSDT,0.1,5.0,0.001
DOTUSDT,0.1,5.0,0.001
DEFIUSDT,0.001,5.0,0.1
YFIUSDT,0.001,5.0,1.0
BALUSDT,0.1,5.0,0.001
CRVUSDT,0.1,5.0,0.001
TRBUSDT,0.1,5.0,0.01
RUNEUSDT,1.0,5.0,0.001
SUSHIUSDT,1.0,5.0,0.0001
SRMUSDT,1.0,5.0,0.0001
EGLDUSDT,0.1,5.0,0.01
SOLUSDT,1.0,5.0,0.001
ICXUSDT,1.0,5.0,0.0001
STORJUSDT,1.0,5.0,0.0001
BLZUSDT,1.0,5.0,1e-05
UNIUSDT,1.0,5.0,0.001
AVAXUSDT,1.0,5.0,0.001
FTMUSDT,1.0,5.0,0.0001
HNTUSDT,1.0,5.0,0.001
ENJUSDT,1.0,5.0,0.0001
FLMUSDT,1.0,5.0,0.0001
TOMOUSDT,1.0,5.0,0.0001
RENUSDT,1.0,5.0,1e-05
KSMUSDT,0.1,5.0,0.01
NEARUSDT,1.0,5.0,0.001
AAVEUSDT,0.1,5.0,0.01
FILUSDT,0.1,5.0,0.001
RSRUSDT,1.0,5.0,1e-06
LRCUSDT,1.0,5.0,0.0001
MATICUSDT,1.0,5.0,0.0001
OCEANUSDT,1.0,5.0,0.0001
CVCUSDT,1.0,5.0,1e-05
BELUSDT,1.0,5.0,0.0001
CTKUSDT,1.0,5.0,0.0001
AXSUSDT,1.0,5.0,0.001
ALPHAUSDT,1.0,5.0,1e-05
ZENUSDT,0.1,5.0,0.001
SKLUSDT,1.0,5.0,1e-05
GRTUSDT,1.0,5.0,1e-05
1INCHUSDT,1.0,5.0,0.0001
BTCBUSD,0.001,5.0,0.1
CHZUSDT,1.0,5.0,1e-05
SANDUSDT,1.0,5.0,0.0001
ANKRUSDT,1.0,5.0,1e-05
BTSUSDT,1.0,5.0,1e-05
LITUSDT,0.1,5.0,0.001
UNFIUSDT,0.1,5.0,0.001
REEFUSDT,1.0,5.0,1e-06
RVNUSDT,1.0,5.0,1e-05
SFPUSDT,1.0,5.0,0.0001
XEMUSDT,1.0,5.0,0.0001
BTCSTUSDT,0.1,5.0,0.001
COTIUSDT,1.0,5.0,1e-05
CHRUSDT,1.0,5.0,0.0001
